GeneID	SRR12438069	SRR12438070	SRR12438071	SRR12438072	SRR12438073	SRR12438074	SRR12438075	SRR12438076	SRR12438077	SRR12438078	SRR12438079	SRR12438080
ENSG00000232663	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131686	0	0	0	0	0	1	0	1	0	0	0	0
ENSG00000265141	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000197241	0	0	2	0	1	5	0	0	0	0	0	0
ENSG00000142583	3	1	19	16	7	18	5	6	9	0	25	39
ENSG00000252404	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180758	60	83	360	362	245	207	63	108	329	33	827	937
ENSG00000228526	95	123	447	489	515	482	161	209	740	84	579	2360
ENSG00000284357	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234546	3	5	23	24	30	33	6	10	47	7	41	63
ENSG00000281937	0	2	2	2	3	4	1	3	5	0	4	6
ENSG00000049239	530	461	3476	3261	2284	1956	1104	1223	2839	347	9118	3351
ENSG00000171621	315	422	957	1106	743	830	187	408	675	192	2236	2788
ENSG00000284652	0	0	2	5	2	2	1	1	3	0	7	2
ENSG00000284693	2	1	11	14	14	3	9	6	11	2	39	14
ENSG00000252956	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235263	0	0	0	1	0	0	0	2	0	0	0	0
ENSG00000171612	40	53	151	182	260	161	101	200	110	4	582	372
ENSG00000231181	0	0	1	6	6	7	4	8	6	0	4	3
ENSG00000188807	60	103	377	400	417	372	179	318	318	31	1023	458
ENSG00000171608	86	87	376	390	280	330	119	179	344	100	1076	2043
ENSG00000179840	0	0	0	0	0	1	3	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231789	20	25	33	18	78	39	21	51	35	5	102	73
ENSG00000171603	1819	1499	6723	6772	8338	8950	3044	4615	6075	956	15542	6398
ENSG00000271264	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000280113	0	0	0	0	2	2	0	0	2	0	0	0
ENSG00000178585	120	89	495	464	481	400	213	299	402	58	1544	852
ENSG00000223989	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162441	76	83	651	569	511	772	200	351	466	60	2059	1231
ENSG00000228150	0	2	7	4	1	2	5	6	13	0	14	16
ENSG00000173614	56	53	469	364	294	304	133	160	341	64	992	404
ENSG00000202415	0	0	4	1	3	3	0	0	2	0	0	4
ENSG00000283611	0	0	1	0	0	2	1	0	1	0	1	2
ENSG00000265521	0	0	1	0	0	1	1	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0
