protein1 protein2 combined_score
9606.ENSP00000009530 9606.ENSP00000388107 973
9606.ENSP00000009530 9606.ENSP00000369757 978
9606.ENSP00000009530 9606.ENSP00000463784 937
9606.ENSP00000009530 9606.ENSP00000376911 932
9606.ENSP00000009530 9606.ENSP00000322439 972
9606.ENSP00000009530 9606.ENSP00000414321 981
9606.ENSP00000009530 9606.ENSP00000496250 981
9606.ENSP00000009530 9606.ENSP00000331019 934
9606.ENSP00000009530 9606.ENSP00000345957 979
9606.ENSP00000009530 9606.ENSP00000494697 980
9606.ENSP00000009530 9606.ENSP00000447001 977
9606.ENSP00000009530 9606.ENSP00000363976 994
9606.ENSP00000009530 9606.ENSP00000339795 936
9606.ENSP00000009530 9606.ENSP00000326981 938
9606.ENSP00000009530 9606.ENSP00000223324 968
9606.ENSP00000009530 9606.ENSP00000307889 976
9606.ENSP00000009530 9606.ENSP00000215754 999
9606.ENSP00000009530 9606.ENSP00000403172 980
9606.ENSP00000009530 9606.ENSP00000359018 905
9606.ENSP00000009530 9606.ENSP00000464342 981
9606.ENSP00000009530 9606.ENSP00000346015 978
9606.ENSP00000009530 9606.ENSP00000339398 994
9606.ENSP00000009530 9606.ENSP00000481646 935
9606.ENSP00000009530 9606.ENSP00000353099 995
9606.ENSP00000009530 9606.ENSP00000361076 974
9606.ENSP00000009530 9606.ENSP00000420311 981
9606.ENSP00000009530 9606.ENSP00000418221 932
9606.ENSP00000009530 9606.ENSP00000470972 985
9606.ENSP00000009530 9606.ENSP00000359571 934
9606.ENSP00000009530 9606.ENSP00000362036 970
9606.ENSP00000009530 9606.ENSP00000426909 976
9606.ENSP00000009530 9606.ENSP00000309334 977
9606.ENSP00000009530 9606.ENSP00000259469 980
9606.ENSP00000009530 9606.ENSP00000389351 981
9606.ENSP00000009530 9606.ENSP00000230050 979
9606.ENSP00000009530 9606.ENSP00000225430 978
9606.ENSP00000009530 9606.ENSP00000367806 981
9606.ENSP00000009530 9606.ENSP00000359345 982
9606.ENSP00000009530 9606.ENSP00000378163 979
9606.ENSP00000009530 9606.ENSP00000393241 982
9606.ENSP00000009530 9606.ENSP00000413436 930
9606.ENSP00000009530 9606.ENSP00000319635 994
9606.ENSP00000009530 9606.ENSP00000354739 977
9606.ENSP00000009530 9606.ENSP00000345672 954
9606.ENSP00000009530 9606.ENSP00000431240 935
9606.ENSP00000009530 9606.ENSP00000395590 940
9606.ENSP00000009530 9606.ENSP00000375632 982
9606.ENSP00000009530 9606.ENSP00000309830 981
9606.ENSP00000009530 9606.ENSP00000355315 931
9606.ENSP00000009530 9606.ENSP00000375730 943
9606.ENSP00000009530 9606.ENSP00000298283 930
9606.ENSP00000009530 9606.ENSP00000463379 935
9606.ENSP00000009530 9606.ENSP00000284981 985
9606.ENSP00000009530 9606.ENSP00000296674 979
9606.ENSP00000009530 9606.ENSP00000481697 927
9606.ENSP00000009530 9606.ENSP00000341082 959
9606.ENSP00000009530 9606.ENSP00000398890 982
9606.ENSP00000009530 9606.ENSP00000431822 997
9606.ENSP00000009530 9606.ENSP00000358812 967
9606.ENSP00000009530 9606.ENSP00000346088 905
9606.ENSP00000009530 9606.ENSP00000294189 979
9606.ENSP00000009530 9606.ENSP00000464813 979
9606.ENSP00000009530 9606.ENSP00000449328 983
9606.ENSP00000009530 9606.ENSP00000416429 979
9606.ENSP00000009530 9606.ENSP00000354722 942
9606.ENSP00000009530 9606.ENSP00000272317 974
9606.ENSP00000009530 9606.ENSP00000496848 975
9606.ENSP00000009530 9606.ENSP00000346050 980
9606.ENSP00000009530 9606.ENSP00000364114 986
9606.ENSP00000009530 9606.ENSP00000345344 993
9606.ENSP00000009530 9606.ENSP00000435777 980
9606.ENSP00000009530 9606.ENSP00000278572 983
9606.ENSP00000009530 9606.ENSP00000268661 934
9606.ENSP00000009530 9606.ENSP00000393566 993
9606.ENSP00000009530 9606.ENSP00000292586 909
9606.ENSP00000009530 9606.ENSP00000270625 981
9606.ENSP00000009530 9606.ENSP00000452763 977
9606.ENSP00000009530 9606.ENSP00000499044 937
9606.ENSP00000009530 9606.ENSP00000410746 909
9606.ENSP00000009530 9606.ENSP00000289371 908
9606.ENSP00000009530 9606.ENSP00000357823 968
9606.ENSP00000009530 9606.ENSP00000346001 937
9606.ENSP00000009530 9606.ENSP00000386717 978
9606.ENSP00000009530 9606.ENSP00000469613 947
9606.ENSP00000009530 9606.ENSP00000274242 975
9606.ENSP00000009530 9606.ENSP00000225969 951
9606.ENSP00000009530 9606.ENSP00000495672 975
9606.ENSP00000009530 9606.ENSP00000377486 969
9606.ENSP00000009530 9606.ENSP00000348849 980
9606.ENSP00000009530 9606.ENSP00000222247 973
9606.ENSP00000009530 9606.ENSP00000368927 934
9606.ENSP00000009530 9606.ENSP00000307940 945
9606.ENSP00000009530 9606.ENSP00000378786 999
9606.ENSP00000009530 9606.ENSP00000346027 979
9606.ENSP00000009530 9606.ENSP00000389356 931
9606.ENSP00000009530 9606.ENSP00000379506 981
9606.ENSP00000009530 9606.ENSP00000381386 965
9606.ENSP00000009530 9606.ENSP00000229769 931
9606.ENSP00000009530 9606.ENSP00000379339 980
9606.ENSP00000011292 9606.ENSP00000222481 938
9606.ENSP00000011292 9606.ENSP00000365116 933
9606.ENSP00000011292 9606.ENSP00000501111 956
9606.ENSP00000011292 9606.ENSP00000354294 973
9606.ENSP00000011292 9606.ENSP00000303963 939
9606.ENSP00000011292 9606.ENSP00000417222 969
9606.ENSP00000011292 9606.ENSP00000296046 922
9606.ENSP00000011292 9606.ENSP00000290122 989
9606.ENSP00000011292 9606.ENSP00000338369 973
9606.ENSP00000011292 9606.ENSP00000458537 946
9606.ENSP00000011619 9606.ENSP00000498603 996
9606.ENSP00000011619 9606.ENSP00000424838 910
9606.ENSP00000011619 9606.ENSP00000268719 990
9606.ENSP00000011619 9606.ENSP00000355388 943
9606.ENSP00000011619 9606.ENSP00000266069 995
9606.ENSP00000011619 9606.ENSP00000368835 949
9606.ENSP00000011619 9606.ENSP00000302830 952
9606.ENSP00000011619 9606.ENSP00000316589 997
9606.ENSP00000011619 9606.ENSP00000283632 997
9606.ENSP00000011619 9606.ENSP00000419413 993
9606.ENSP00000011619 9606.ENSP00000323527 998
9606.ENSP00000011619 9606.ENSP00000359077 962
9606.ENSP00000011653 9606.ENSP00000477713 999
9606.ENSP00000011653 9606.ENSP00000398890 941
